#0.000000e+00 0.000000e+00 -2.500000e-01 8.000000e-02 8.000000e-02 5.000000e-01
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
9.000000e-03 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 -5.567726e-06 0.000000e+00 5.567726e-06 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 -5.905162e-05 0.000000e+00 5.905162e-05 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 -2.157005e-04 0.000000e+00 2.157005e-04 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
3.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999999e-01 -5.274850e-04 0.000000e+00 5.274850e-04 9.999999e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
4.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999995e-01 -1.043196e-03 0.000000e+00 1.043196e-03 9.999995e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
5.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999984e-01 -1.808674e-03 0.000000e+00 1.808674e-03 9.999984e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
6.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999959e-01 -2.867060e-03 0.000000e+00 2.867060e-03 9.999959e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
7.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999909e-01 -4.259071e-03 0.000000e+00 4.259071e-03 9.999909e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
8.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999819e-01 -6.023280e-03 0.000000e+00 6.023280e-03 9.999819e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
9.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 9.999664e-01 -8.196401e-03 0.000000e+00 8.196401e-03 9.999664e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
