#2.500000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-02 5.000000e-02
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
9.000000e-03 0.000000e+00 0.000000e+00 0.000000e+00 7.499961e-01 6.614422e-01 -5.567726e-06 4.175773e-06 3.682729e-06 1.000000e+00 6.614422e-01 -7.499961e-01 6.123234e-17
1.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.499525e-01 6.614917e-01 -5.905162e-05 4.428591e-05 3.906216e-05 1.000000e+00 6.614917e-01 -7.499525e-01 6.123234e-17
2.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.498073e-01 6.616563e-01 -2.157005e-04 1.617338e-04 1.427196e-04 1.000000e+00 6.616563e-01 -7.498073e-01 6.123234e-17
3.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.494918e-01 6.620134e-01 -5.274850e-04 3.953457e-04 3.492022e-04 9.999999e-01 6.620135e-01 -7.494919e-01 6.123234e-17
4.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.489371e-01 6.626403e-01 -1.043196e-03 7.812887e-04 6.912642e-04 9.999995e-01 6.626407e-01 -7.489375e-01 6.123234e-17
5.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.480761e-01 6.636105e-01 -1.808674e-03 1.353028e-03 1.200257e-03 9.999984e-01 6.636116e-01 -7.480773e-01 6.123234e-17
6.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.468446e-01 6.649924e-01 -2.867060e-03 2.141257e-03 1.906581e-03 9.999959e-01 6.649951e-01 -7.468477e-01 6.123234e-17
7.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.451816e-01 6.668480e-01 -4.259071e-03 3.173810e-03 2.840179e-03 9.999909e-01 6.668540e-01 -7.451884e-01 6.123234e-17
8.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.430284e-01 6.692328e-01 -6.023280e-03 4.475549e-03 4.031050e-03 9.999819e-01 6.692450e-01 -7.430418e-01 6.123234e-17
9.900000e-02 0.000000e+00 0.000000e+00 0.000000e+00 7.403286e-01 6.721951e-01 -8.196401e-03 6.068234e-03 5.509766e-03 9.999664e-01 6.722177e-01 -7.403535e-01 6.123234e-17
1.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.370283e-01 6.757754e-01 -1.081356e-02 7.970368e-03 7.307968e-03 9.999415e-01 6.758149e-01 -7.370714e-01 6.123234e-17
1.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.330747e-01 6.800059e-01 -1.390859e-02 1.019702e-02 9.458841e-03 9.999033e-01 6.800717e-01 -7.331456e-01 6.123234e-17
1.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.284170e-01 6.849102e-01 -1.751427e-02 1.275965e-02 1.199754e-02 9.998466e-01 6.850153e-01 -7.285287e-01 6.123234e-17
1.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.230053e-01 6.905027e-01 -2.166255e-02 1.566582e-02 1.496156e-02 9.997653e-01 6.906648e-01 -7.231750e-01 6.123234e-17
1.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.167914e-01 6.967883e-01 -2.638483e-02 1.891901e-02 1.839105e-02 9.996519e-01 6.970310e-01 -7.170410e-01 6.123234e-17
1.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.097279e-01 7.037618e-01 -3.171212e-02 2.251830e-02 2.232901e-02 9.994970e-01 7.041159e-01 -7.100850e-01 6.123234e-17
1.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.017690e-01 7.114076e-01 -3.767520e-02 2.645807e-02 2.682146e-02 9.992900e-01 7.119131e-01 -7.022676e-01 6.123234e-17
1.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.928705e-01 7.196996e-01 -4.430479e-02 3.072766e-02 3.191748e-02 9.990181e-01 7.204070e-01 -6.935516e-01 6.123234e-17
1.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.829901e-01 7.286005e-01 -5.163167e-02 3.531102e-02 3.766911e-02 9.986662e-01 7.295736e-01 -6.839023e-01 6.123234e-17
1.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.720877e-01 7.380621e-01 -5.968670e-02 4.018635e-02 4.413117e-02 9.982172e-01 7.393803e-01 -6.732881e-01 6.123234e-17
2.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.601265e-01 7.480245e-01 -6.850088e-02 4.532572e-02 5.136098e-02 9.976511e-01 7.497857e-01 -6.616808e-01 6.123234e-17
2.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.470732e-01 7.584166e-01 -7.810532e-02 5.069473e-02 5.941789e-02 9.969451e-01 7.607406e-01 -6.490560e-01 6.123234e-17
2.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.328993e-01 7.691559e-01 -8.853112e-02 5.625216e-02 6.836266e-02 9.960734e-01 7.721879e-01 -6.353942e-01 6.123234e-17
2.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.175818e-01 7.801479e-01 -9.980927e-02 6.194973e-02 7.825676e-02 9.950066e-01 7.840631e-01 -6.206811e-01 6.123234e-17
2.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.011049e-01 7.912873e-01 -1.119704e-01 6.773186e-02 8.916142e-02 9.937115e-01 7.962948e-01 -6.049088e-01 6.123234e-17
2.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.834609e-01 8.024570e-01 -1.250444e-01 7.353566e-02 1.011365e-01 9.921512e-01 8.088052e-01 -5.880766e-01 6.123234e-17
2.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.646523e-01 8.135294e-01 -1.390600e-01 7.929097e-02 1.142394e-01 9.902840e-01 8.215112e-01 -5.701923e-01 6.123234e-17
2.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.446934e-01 8.243660e-01 -1.540446e-01 8.492072e-02 1.285232e-01 9.880639e-01 8.343246e-01 -5.512735e-01 6.123234e-17
