#0.000000e+00 2.500000e-01 0.000000e+00 3.000000e-02 5.000000e-01 3.000000e-02
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
9.000000e-03 3.749981e-01 2.087886e-06 3.307211e-01 6.614346e-01 7.500029e-01 -5.567726e-06 3.682686e-06 4.175810e-06 1.000000e+00 7.500029e-01 -6.614346e-01 6.123234e-17
1.900000e-02 3.749762e-01 2.214295e-05 3.307459e-01 6.614118e-01 7.500230e-01 -5.905162e-05 3.905743e-05 4.429007e-05 1.000000e+00 7.500230e-01 -6.614118e-01 6.123234e-17
2.900000e-02 3.749036e-01 8.086689e-05 3.308282e-01 6.613621e-01 7.500668e-01 -2.157005e-04 1.426561e-04 1.617898e-04 1.000000e+00 7.500668e-01 -6.613621e-01 6.123234e-17
3.900000e-02 3.747459e-01 1.976729e-04 3.310068e-01 6.612869e-01 7.501329e-01 -5.274850e-04 3.488190e-04 3.956839e-04 9.999999e-01 7.501330e-01 -6.612870e-01 6.123234e-17
4.900000e-02 3.744685e-01 3.906444e-04 3.313203e-01 6.611908e-01 7.502171e-01 -1.043196e-03 6.897521e-04 7.826240e-04 9.999995e-01 7.502175e-01 -6.611912e-01 6.123234e-17
5.900000e-02 3.740380e-01 6.765138e-04 3.318058e-01 6.610787e-01 7.503144e-01 -1.808674e-03 1.195678e-03 1.357076e-03 9.999984e-01 7.503156e-01 -6.610798e-01 6.123234e-17
6.900000e-02 3.734223e-01 1.070628e-03 3.324976e-01 6.609549e-01 7.504202e-01 -2.867060e-03 1.895005e-03 2.151508e-03 9.999959e-01 7.504233e-01 -6.609576e-01 6.123234e-17
7.900000e-02 3.725908e-01 1.586905e-03 3.334270e-01 6.608219e-01 7.505306e-01 -4.259071e-03 2.814513e-03 3.196592e-03 9.999909e-01 7.505374e-01 -6.608279e-01 6.123234e-17
8.900000e-02 3.715142e-01 2.237775e-03 3.346225e-01 6.606803e-01 7.506432e-01 -6.023280e-03 3.979535e-03 4.521417e-03 9.999819e-01 7.506568e-01 -6.606923e-01 6.123234e-17
9.900000e-02 3.701643e-01 3.034117e-03 3.361089e-01 6.605276e-01 7.507570e-01 -8.196401e-03 5.414131e-03 6.153712e-03 9.999664e-01 7.507822e-01 -6.605498e-01 6.123234e-17
1.090000e-01 3.685141e-01 3.985184e-03 3.379075e-01 6.603580e-01 7.508731e-01 -1.081356e-02 7.141241e-03 8.120089e-03 9.999415e-01 7.509170e-01 -6.603966e-01 6.123234e-17
1.190000e-01 3.665373e-01 5.098512e-03 3.400358e-01 6.601619e-01 7.509946e-01 -1.390859e-02 9.182811e-03 1.044629e-02 9.999033e-01 7.510672e-01 -6.602257e-01 6.123234e-17
1.290000e-01 3.642085e-01 6.379823e-03 3.425076e-01 6.599251e-01 7.511272e-01 -1.751427e-02 1.155988e-02 1.315746e-02 9.998466e-01 7.512424e-01 -6.600264e-01 6.123234e-17
1.390000e-01 3.615027e-01 7.832908e-03 3.453324e-01 6.596289e-01 7.512792e-01 -2.166255e-02 1.429260e-02 1.627844e-02 9.997653e-01 7.514555e-01 -6.597837e-01 6.123234e-17
1.490000e-01 3.583957e-01 9.459503e-03 3.485155e-01 6.592491e-01 7.514616e-01 -2.638483e-02 1.740023e-02 1.983409e-02 9.996519e-01 7.517233e-01 -6.594786e-01 6.123234e-17
1.590000e-01 3.548639e-01 1.125915e-02 3.520580e-01 6.587558e-01 7.516882e-01 -3.171212e-02 2.090105e-02 2.384962e-02 9.994970e-01 7.520664e-01 -6.590873e-01 6.123234e-17
1.690000e-01 3.508845e-01 1.322903e-02 3.559565e-01 6.581135e-01 7.519755e-01 -3.767520e-02 2.481217e-02 2.835095e-02 9.992900e-01 7.525098e-01 -6.585811e-01 6.123234e-17
1.790000e-01 3.464353e-01 1.536383e-02 3.602035e-01 6.572804e-01 7.523427e-01 -4.430479e-02 2.914929e-02 3.336515e-02 9.990181e-01 7.530822e-01 -6.579264e-01 6.123234e-17
1.890000e-01 3.414950e-01 1.765551e-02 3.647868e-01 6.562085e-01 7.528112e-01 -5.163167e-02 3.392639e-02 3.892081e-02 9.986662e-01 7.538166e-01 -6.570849e-01 6.123234e-17
1.990000e-01 3.360439e-01 2.009317e-02 3.696901e-01 6.548435e-01 7.534040e-01 -5.968670e-02 3.915525e-02 4.504851e-02 9.982172e-01 7.547496e-01 -6.560130e-01 6.123234e-17
2.090000e-01 3.300633e-01 2.266286e-02 3.748928e-01 6.531248e-01 7.541456e-01 -6.850088e-02 4.484497e-02 5.178127e-02 9.976511e-01 7.559212e-01 -6.546626e-01 6.123234e-17
2.190000e-01 3.235366e-01 2.534736e-02 3.803703e-01 6.509860e-01 7.550608e-01 -7.810532e-02 5.100127e-02 5.915497e-02 9.969451e-01 7.573745e-01 -6.529808e-01 6.123234e-17
2.290000e-01 3.164496e-01 2.812608e-02 3.860940e-01 6.483545e-01 7.561737e-01 -8.853112e-02 5.762582e-02 6.720881e-02 9.960734e-01 7.591546e-01 -6.509104e-01 6.123234e-17
2.390000e-01 3.087909e-01 3.097486e-02 3.920315e-01 6.451523e-01 7.575069e-01 -9.980927e-02 6.471533e-02 7.598563e-02 9.950066e-01 7.613084e-01 -6.483900e-01 6.123234e-17
2.490000e-01 3.005524e-01 3.386593e-02 3.981474e-01 6.412963e-01 7.590795e-01 -1.119704e-01 7.226060e-02 8.553228e-02 9.937115e-01 7.638831e-01 -6.453546e-01 6.123234e-17
2.590000e-01 2.917304e-01 3.676783e-02 4.044026e-01 6.366992e-01 7.609061e-01 -1.250444e-01 8.024547e-02 9.589971e-02 9.921512e-01 7.669256e-01 -6.417361e-01 6.123234e-17
2.690000e-01 2.823262e-01 3.964549e-02 4.107556e-01 6.312699e-01 7.629945e-01 -1.390600e-01 8.864570e-02 1.071431e-01 9.902840e-01 7.704806e-01 -6.374635e-01 6.123234e-17
2.790000e-01 2.723467e-01 4.246036e-02 4.171623e-01 6.249148e-01 7.653442e-01 -1.540446e-01 9.742768e-02 1.193214e-01 9.880639e-01 7.745898e-01 -6.324640e-01 6.123234e-17
2.890000e-01 2.618060e-01 4.517074e-02 4.235767e-01 6.175392e-01 7.679437e-01 -1.700230e-01 1.065472e-01 1.324973e-01 9.854401e-01 7.792901e-01 -6.266634e-01 6.123234e-17
2.990000e-01 2.507260e-01 4.773223e-02 4.299513e-01 6.090487e-01 7.707686e-01 -1.870172e-01 1.159483e-01 1.467359e-01 9.823566e-01 7.846118e-01 -6.199874e-01 6.123234e-17
3.090000e-01 2.391374e-01 5.009838e-02 4.362379e-01 5.993514e-01 7.737793e-01 -2.050450e-01 1.255619e-01 1.621038e-01 9.787526e-01 7.905771e-01 -6.123626e-01 6.123234e-17
3.190000e-01 2.270809e-01 5.222164e-02 4.423880e-01 5.883601e-01 7.769188e-01 -2.241193e-01 1.353048e-01 1.786675e-01 9.745617e-01 7.971982e-01 -6.037177e-01 6.123234e-17
3.290000e-01 2.146081e-01 5.405451e-02 4.483542e-01 5.759954e-01 7.801107e-01 -2.442469e-01 1.450791e-01 1.964907e-01 9.697131e-01 8.044758e-01 -5.939854e-01 6.123234e-17
3.390000e-01 2.017822e-01 5.555097e-02 4.540903e-01 5.621888e-01 7.832575e-01 -2.654268e-01 1.547715e-01 2.156321e-01 9.641310e-01 8.123974e-01 -5.831041e-01 6.123234e-17
3.490000e-01 1.886783e-01 5.666823e-02 4.595533e-01 5.468863e-01 7.862399e-01 -2.876493e-01 1.642535e-01 2.361417e-01 9.577358e-01 8.209362e-01 -5.710200e-01 6.123234e-17
3.590000e-01 1.753838e-01 5.736869e-02 4.647035e-01 5.300525e-01 7.889165e-01 -3.108940e-01 1.733822e-01 2.580575e-01 9.504446e-01 8.300500e-01 -5.576890e-01 6.123234e-17
3.690000e-01 1.619977e-01 5.762214e-02 4.695066e-01 5.116748e-01 7.911245e-01 -3.351283e-01 1.820014e-01 2.814009e-01 9.421725e-01 8.396812e-01 -5.430797e-01 6.123234e-17
3.790000e-01 1.486296e-01 5.740801e-02 4.739341e-01 4.917667e-01 7.926822e-01 -3.603061e-01 1.899443e-01 3.061726e-01 9.328341e-01 8.497568e-01 -5.271749e-01 6.123234e-17
3.890000e-01 1.353982e-01 5.671769e-02 4.779649e-01 4.703722e-01 7.933921e-01 -3.863663e-01 1.970368e-01 3.323483e-01 9.223454e-01 8.601898e-01 -5.099740e-01 6.123234e-17
3.990000e-01 1.224286e-01 5.555665e-02 4.815856e-01 4.475681e-01 7.930464e-01 -4.132314e-01 2.031011e-01 3.598752e-01 9.106260e-01 8.708805e-01 -4.914949e-01 6.123234e-17
4.090000e-01 1.098490e-01 5.394622e-02 4.847917e-01 4.234656e-01 7.914329e-01 -4.408070e-01 2.079615e-01 3.886680e-01 8.976019e-01 8.817193e-01 -4.717744e-01 6.123234e-17
4.190000e-01 9.778739e-02 5.192483e-02 4.875874e-01 3.982111e-01 7.883430e-01 -4.689811e-01 2.114490e-01 4.186079e-01 8.832082e-01 8.925902e-01 -4.508689e-01 6.123234e-17
4.290000e-01 8.636647e-02 4.954855e-02 4.899855e-01 3.719845e-01 7.835800e-01 -4.976243e-01 2.134080e-01 4.495408e-01 8.673927e-01 9.033740e-01 -4.288536e-01 6.123234e-17
4.390000e-01 7.569959e-02 4.689078e-02 4.920069e-01 3.449957e-01 7.769683e-01 -5.265911e-01 2.137015e-01 4.812794e-01 8.501187e-01 9.139527e-01 -4.058206e-01 6.123234e-17
4.490000e-01 6.588595e-02 4.404090e-02 4.936795e-01 3.174800e-01 7.683621e-01 -5.557213e-01 2.122168e-01 5.136051e-01 8.313686e-01 9.242134e-01 -3.818763e-01 6.123234e-17
4.590000e-01 5.700642e-02 4.110203e-02 4.950363e-01 2.896911e-01 7.576531e-01 -5.848426e-01 2.088693e-01 5.462733e-01 8.111468e-01 9.340517e-01 -3.571377e-01 6.123234e-17
4.690000e-01 4.912002e-02 3.818784e-02 4.961138e-01 2.618934e-01 7.447772e-01 -6.137742e-01 2.036063e-01 5.790192e-01 7.894816e-01 9.433750e-01 -3.317283e-01 6.123234e-17
4.790000e-01 4.226141e-02 3.541862e-02 4.969502e-01 2.343531e-01 7.297190e-01 -6.423308e-01 1.964077e-01 6.115659e-01 7.664275e-01 9.521043e-01 -3.057734e-01 6.123234e-17
4.890000e-01 3.643958e-02 3.291685e-02 4.975828e-01 2.073299e-01 7.125134e-01 -6.703275e-01 1.872867e-01 6.436324e-01 7.420654e-01 9.601760e-01 -2.793958e-01 6.123234e-17
4.990000e-01 3.163790e-02 3.080259e-02 4.980464e-01 1.810683e-01 6.932457e-01 -6.975849e-01 1.762877e-01 6.749425e-01 7.165021e-01 9.675417e-01 -2.527115e-01 6.123234e-17
5.090000e-01 2.781548e-02 2.918898e-02 4.983717e-01 1.557907e-01 6.720480e-01 -7.239342e-01 1.634835e-01 7.052332e-01 6.898691e-01 9.741676e-01 -2.258264e-01 6.123234e-17
5.190000e-01 2.490977e-02 2.817819e-02 4.985835e-01 1.316916e-01 6.490946e-01 -7.492220e-01 1.489708e-01 7.342624e-01 6.623190e-01 9.800332e-01 -1.988340e-01 6.123234e-17
5.290000e-01 2.284012e-02 2.785803e-02 4.987006e-01 1.089335e-01 6.245939e-01 -7.733149e-01 1.328659e-01 7.618153e-01 6.340221e-01 9.851295e-01 -1.718135e-01 6.123234e-17
5.390000e-01 2.151203e-02 2.829953e-02 4.987348e-01 8.764513e-02 5.987811e-01 -7.961027e-01 1.152990e-01 7.877091e-01 6.051615e-01 9.894567e-01 -1.448293e-01 6.123234e-17
5.490000e-01 2.082172e-02 2.955539e-02 4.986912e-01 6.792022e-02 5.719086e-01 -8.175007e-01 9.640938e-02 8.117959e-01 5.759276e-01 9.930217e-01 -1.179319e-01 6.123234e-17
5.590000e-01 2.066071e-02 3.165953e-02 4.985688e-01 4.981914e-02 5.442372e-01 -8.374509e-01 7.634056e-02 8.339641e-01 5.465126e-01 9.958364e-01 -9.115826e-02 6.123234e-17
5.690000e-01 2.092017e-02 3.462742e-02 4.983606e-01 3.337093e-02 5.160275e-01 -8.559217e-01 5.523614e-02 8.541375e-01 5.171054e-01 9.979155e-01 -6.453410e-02 6.123234e-17
5.790000e-01 2.149464e-02 3.845734e-02 4.980552e-01 1.857649e-02 4.875328e-01 -8.729070e-01 3.323630e-02 8.722740e-01 4.878866e-01 9.992749e-01 -3.807542e-02 6.123234e-17
5.890000e-01 2.228516e-02 4.313204e-02 4.976374e-01 5.412268e-03 4.589925e-01 -8.884236e-01 1.047523e-02 8.883619e-01 4.590245e-01 9.999305e-01 -1.179081e-02 6.123234e-17
